epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,6321.02,1.25265,1.29164,1.40645,0.9572,0.65304,0.72233,0.40097,1.66456,1.25439,1.53815,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6404.48,1.2364,1.26377,1.38728,0.9009,0.66359,0.72122,0.41172,1.66136,1.23699,1.53746,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6489.82,1.23563,1.27725,1.38708,0.8801,0.67153,0.71928,0.40881,1.66144,1.22863,1.53756,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6575.47,1.22106,1.24317,1.38106,0.91247,0.64234,0.7192,0.40524,1.67603,1.22618,1.54594,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6658.39,1.21179,1.23717,1.36635,0.92594,0.63504,0.71161,0.40187,1.68581,1.22191,1.55343,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6741.57,1.1993,1.20452,1.35554,0.87643,0.67304,0.71866,0.40467,1.68071,1.22576,1.55521,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6825.14,1.20088,1.23695,1.36377,0.88328,0.66285,0.71776,0.40424,1.681,1.22312,1.55831,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6907.88,1.18189,1.16279,1.3372,0.87183,0.68613,0.7342,0.4033,1.67518,1.21334,1.55715,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6991.47,1.18219,1.16977,1.35064,0.86831,0.67378,0.72636,0.40657,1.68673,1.2267,1.5684,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7073.67,1.18362,1.16016,1.33705,0.91158,0.64234,0.71373,0.39702,1.68411,1.22067,1.56826,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7155.61,1.1665,1.15248,1.32525,0.88728,0.67883,0.71343,0.3967,1.67854,1.22028,1.56744,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7237.38,1.16308,1.13243,1.32848,0.8937,0.67509,0.71222,0.39844,1.67784,1.22467,1.56772,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7319.42,1.15215,1.14188,1.32657,0.9231,0.64964,0.70822,0.39664,1.6777,1.22557,1.57156,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7401.73,1.14525,1.12633,1.31735,0.9208,0.64964,0.70701,0.39726,1.67972,1.2273,1.5716,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7484.23,1.14479,1.10742,1.31122,0.92077,0.64964,0.70829,0.40207,1.67818,1.2219,1.57395,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7566.79,1.11966,1.06972,1.29992,0.9203,0.64964,0.70977,0.40009,1.6824,1.22979,1.579,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7649.39,1.12869,1.09477,1.30139,0.90831,0.64234,0.69967,0.39746,1.67488,1.22659,1.57528,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7731.94,1.1185,1.06253,1.29183,0.92003,0.64964,0.70945,0.40043,1.67522,1.22905,1.57463,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7835.39,1.1161,0.94579,1.29921,0.90936,0.64234,0.69901,0.39852,1.67557,1.23326,1.57587,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7927.52,1.0656,0.87233,1.27064,0.89121,0.66423,0.69862,0.39712,1.67445,1.23444,1.576,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8018.42,1.05547,0.87599,1.25756,0.88369,0.66423,0.69932,0.39842,1.67569,1.23795,1.57954,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8107.57,1.04287,0.82794,1.24937,0.88538,0.66423,0.70008,0.40138,1.677,1.24329,1.58039,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
