epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,8195.72,1.08228,0.99169,1.2719,0.88812,0.67153,0.71196,0.41044,1.6097,1.20635,1.52217,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8307.81,1.06506,0.97173,1.26142,0.8682,0.67319,0.71168,0.41367,1.62386,1.21018,1.51642,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8419.99,1.06518,0.97048,1.2641,0.88664,0.67153,0.7208,0.41455,1.62385,1.20987,1.50323,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8531.78,1.05858,0.95479,1.25773,0.88003,0.68613,0.7274,0.42482,1.63381,1.20229,1.51852,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8643.92,1.0439,0.94647,1.24071,0.94747,0.65822,0.73082,0.41742,1.63443,1.20359,1.52753,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8756.09,1.03117,0.92484,1.23505,0.93955,0.68075,0.73018,0.41726,1.62579,1.22079,1.52568,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8867.95,1.02752,0.92429,1.23978,0.94719,0.69343,0.73789,0.41709,1.6109,1.18253,1.51226,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8979.87,1.01555,0.91155,1.22818,0.94658,0.67883,0.73934,0.41621,1.63577,1.17768,1.5201,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9092.02,1.00905,0.89904,1.22087,0.9377,0.65915,0.73183,0.4168,1.64115,1.18003,1.52489,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9204,0.99585,0.88461,1.21386,0.94656,0.67153,0.738,0.41259,1.65133,1.20291,1.53323,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9316.45,0.98924,0.88489,1.20322,0.94247,0.67153,0.72839,0.40116,1.64903,1.21008,1.54343,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9428.78,0.99718,0.87398,1.21209,0.92043,0.67551,0.71974,0.4042,1.64986,1.23334,1.54894,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9540.86,0.96643,0.84616,1.19438,0.95245,0.67883,0.72653,0.40711,1.66556,1.24553,1.55311,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9653.27,0.96297,0.84858,1.19273,0.93862,0.66972,0.7093,0.40035,1.67055,1.24552,1.56314,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9765.72,0.95981,0.84345,1.19173,0.94566,0.67883,0.7212,0.40254,1.68182,1.21721,1.57605,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9878.07,0.94791,0.8253,1.17532,0.95101,0.68613,0.72277,0.40202,1.67861,1.21591,1.57028,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9990.29,0.95458,0.84607,1.18575,0.94353,0.68613,0.71673,0.39908,1.68505,1.21778,1.57568,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10102.5,0.93087,0.81417,1.17,0.94388,0.67883,0.71987,0.40277,1.68438,1.22,1.57643,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10219.9,0.91566,0.80934,1.16008,0.95868,0.67746,0.71907,0.40126,1.69732,1.22429,1.58968,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
