epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,7681.73,1.2022,1.26613,1.40225,0.9461,0.64964,0.71562,0.41154,1.64445,1.24408,1.55903,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7782.83,1.21931,1.25649,1.40866,0.95679,0.64648,0.71566,0.40792,1.64514,1.25292,1.55979,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7884.03,1.19164,1.21998,1.38858,0.95604,0.62774,0.7143,0.40939,1.63607,1.24681,1.55963,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7985.11,1.18518,1.2102,1.38515,0.95566,0.63504,0.71576,0.40777,1.6514,1.23787,1.56987,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8086.48,1.16747,1.22202,1.37506,0.94582,0.62774,0.71653,0.4144,1.64715,1.22643,1.57273,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8187.63,1.18723,1.20611,1.38472,0.93797,0.63504,0.71681,0.41253,1.64594,1.2316,1.57474,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8289.38,1.17146,1.21028,1.36737,0.93402,0.63504,0.71664,0.41345,1.66394,1.23664,1.58579,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8391.05,1.14751,1.17163,1.35001,0.94705,0.63504,0.71543,0.41094,1.67739,1.24019,1.59498,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8492.39,1.15006,1.13996,1.35657,0.93669,0.63504,0.71729,0.40768,1.68012,1.24269,1.59838,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8593.68,1.13716,1.14337,1.34407,0.93678,0.63504,0.71354,0.40678,1.6881,1.24251,1.60223,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8695.3,1.14232,1.13865,1.34274,0.92295,0.63504,0.71152,0.40421,1.69264,1.23904,1.60719,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8796.74,1.12978,1.12812,1.33387,0.91668,0.64234,0.70971,0.40714,1.70333,1.24611,1.61676,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8898.96,1.11633,1.10308,1.3283,0.91242,0.64234,0.70897,0.4004,1.70474,1.248,1.62103,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9000,1.11182,1.09788,1.32465,0.91106,0.64234,0.7088,0.40069,1.71257,1.24076,1.62549,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9101.91,1.07865,1.07356,1.30543,0.87305,0.65259,0.70827,0.39877,1.7163,1.23625,1.63255,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9203.32,1.10235,1.0747,1.317,0.86677,0.65693,0.70792,0.39896,1.72043,1.23538,1.63601,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
